site_name,Zm,g1,Albedo,Elev,MAP,MAT,Source,Dataset,N_gN_100gleaf,AGB_t_DM_ha,Ref,lat,long,LC,Koppen,hc,LAImax,DATA_START,DATA_END,hc_RS,theta_f_mean,PAW_mean,theta_r_mean,theta_s_mean,theta_wp_mean
US-Bi2,5.11,3.8,,-5,338,16,AMF_FLX,,,,,38.1091,-121.5351,CRO,Csa,,,2017,2021,0.02990881,0.374500006,0.183850005,0.182139993,0.484829992,0.190650001
US-BRG,3,4.2,,180,1200,11.8,AMF_FLX,,,,,39.2167,-86.5406,GRA,Cfa,,,2016,2020,7.376866434,0.336140007,0.217759997,0.113750003,0.447450012,0.11838001
US-BZB,3,6.5,,100,274,-2.4,AMF_FLX,,,,,64.6955,-148.3208,WET,Dfd,,,2011,2022,1.348499094,0.451429993,0.320129991,0.122340001,0.56923002,0.131300002
US-BZF,2,6.5,,95,274,-2.4,AMF_FLX,,,,,64.7013,-148.3121,WET,Dfd,,,2011,2022,2.265019032,0.441960007,0.322100013,0.111589998,0.563960016,0.119859993
US-BZo,2.2,6.5,,100,274,-2.4,AMF_FLX,,,,,64.6936,-148.33,WET,Dfd,,,2018,2022,3.172888915,0.437920004,0.317209989,0.11287,0.556879997,0.120710015
US-BZS,5,2.5,,100,274,-2.4,AMF_FLX,,,,,64.6963,-148.3235,ENF,Dfd,,,2010,2021,2.519268226,0.451429993,0.320129991,0.122340001,0.56923002,0.131300002
US-CF1,2.1,3.8,,794,550,9,AMF_FLX,,,,,46.7815,-117.0821,CRO,Dsb,,,2017,2021,0,0.325670004,0.190390006,0.130239993,0.417789996,0.135279998
US-CF2,2.1,3.8,,807,550,9,AMF_FLX,,,,,46.784,-117.0908,CRO,Dsb,,,2017,2020,0,0.320490003,0.190050006,0.125589997,0.41554001,0.130439997
US-CF3,2.1,3.8,,795,550,9,AMF_FLX,,,,,46.7551,-117.1261,CRO,Dsb,,,2017,2021,0,0.317629993,0.188649997,0.124190003,0.414550006,0.128979996
US-CF4,2.1,3.8,,795,550,9,AMF_FLX,,,,,46.7518,-117.1285,CRO,Dsb,,,2017,2021,0,0.317629993,0.188649997,0.124190003,0.414550006,0.128979996
US-Cop,3,3.9,,1520,,,AMF_FLX,,,,,38.09,-109.39,GRA,,,,2001,2007,0.003651543,0.243699998,0.12624,0.112489998,0.377620012,0.117459998
US-CRT,2.5,4,,180,849,10.1,AMF_FLX,,,,,41.6285,-83.3471,CRO,Dfa,,,2011,2013,0.209243064,0.349649996,0.178310007,0.16437,0.457239985,0.171339989
US-CS1,2.5,4,,328,830,7,AMF_FLX,,,,,44.1031,-89.5379,CRO,Dfa,,,2018,2019,0.151179479,0.241549999,0.140589997,0.096978001,0.426679999,0.100960001
US-CS2,31,5.8,,328,830,7,AMF_FLX,,,,,44.1467,-89.5002,ENF,Dfa,,,2018,2022,10.9329663,0.195549995,0.11406,0.080195002,0.45006001,0.081489995
US-CS3,2.5,4,,328,830,7,AMF_FLX,,,,,44.1394,-89.5727,CRO,Dfa,,,2019,2020,1.105090205,0.206609994,0.119484,0.084463999,0.409099996,0.087125994
US-CS4,2.5,4,,328,830,7,AMF_FLX,,,,,44.1597,-89.5475,CRO,Dfa,,,2020,2021,0.673737209,0.223700002,0.127602994,0.093088001,0.424439996,0.096097007
US-DFC,30,4,,264.9,787,7.65,AMF_FLX,,,,,43.3448,-89.7117,CRO,Dfb,,,2018,2022,1.468095301,0.286529988,0.175720006,0.106040001,0.429030001,0.110809982
US-DS3,2.76,3.8,,-7,432,16,AMF_FLX,,,,,38.1235,-121.549,CRO,Csa,,,2021,2023,0,0.359270006,0.169279993,0.181920007,0.466479987,0.189990014
US-EDN,4.34,6.5,,,,,AMF_FLX,,,,,37.6156,-122.114,WET,Csa,,,2018,2019,0,0.402170002,0.205939993,0.185650006,0.530480027,0.196230009
US-EML,3.94,3.9,,662,378,-1,AMF_FLX,,,,,63.8784,-149.2536,OSH,ET,,,2008,2020,0.00202895,0.463070005,0.316009998,0.134230003,0.601090014,0.147060007
US-Fcr,2.3,3.9,,265,,-2.4,AMF_FLX,,,,,65.3968,-148.9348,OSH,Dwc,,,2011,2014,0.349790269,0.454950005,0.298029989,0.143610001,0.598990023,0.156920016
US-Fmf,23,2.6,,2160,546,9.5,AMF_FLX,,,,,35.1426,-111.7273,ENF,Csb,,,2005,2010,3.983746435,0.300359994,0.154699996,0.139850006,0.419239998,0.145659998
US-Fuf,23,2.6,,2180,562,8.7,AMF_FLX,,,,,35.089,-111.762,ENF,Csb,,,2005,2010,1.726152069,0.328350008,0.180299997,0.141849995,0.453170002,0.14805001
US-GLE,30.2,2.6,,3197,1200,0.8,AMF_FLX,,,,,41.3665,-106.2399,ENF,Dfc,,,2005,2020,3.361761233,0.339419991,0.214000002,0.118539996,0.503040016,0.125419989
US-Ha1,29,4.7,,340,1071,6.62,AMF_FLX,,,,,42.5378,-72.1715,DBF,Dfb,,,1991,2020,15.63643823,0.284610003,0.190457001,0.087798998,0.50049001,0.094153002
US-HB1,4.89,6.5,,0.1,1429,18.3,AMF_FLX,,,,,33.3455,-79.1957,WET,Cfa,,,2019,2022,3.479111432,0.327600002,0.182610005,0.138119996,0.485780001,0.144989997
US-HB2,32.92,5.8,,4.7,1429,18.3,AMF_FLX,,,,,33.3242,-79.244,ENF,Cfa,,,2019,2019,12.59348795,0.268139988,0.151480004,0.112000003,0.452780008,0.116659984
US-HB3,6.1,5.8,,7.3,1429,18.3,AMF_FLX,,,,,33.3482,-79.2322,ENF,Cfa,,,2019,2022,10.77592405,0.265610009,0.151800007,0.109310001,0.458739996,0.113810003
US-Hn2,3.25,3.3,,117.5,197,12.8,AMF_FLX,,,,,46.6889,-119.4641,GRA,Bsk,,,2015,2018,0.018630058,0.236000001,0.132190004,0.099156,0.37184,0.103809997
US-Hn3,3.25,3.9,,120.9,197,12.8,AMF_FLX,,,,,46.6878,-119.4614,OSH,Bsk,,,2017,2018,0.031233942,0.236000001,0.132190004,0.099156,0.37184,0.103809997
US-Ho2,28.3,5.8,,61,1064,5.13,AMF_FLX,,,,,45.2091,-68.747,ENF,Dfb,,,1999,2023,15.36240694,0.315270007,0.210950002,0.097632997,0.506510019,0.104320005
US-HWB,5,,,378,1006.35,10.1,AMF_FLX,,,,,40.8608,-77.8488,CVM,Dfb,,,2015,2018,4.261419278,0.353899986,0.214379996,0.133900002,0.46272999,0.139519989
US-ICh,3.8,3.9,,940,318,-7.4,AMF_FLX,,,,,68.6068,-149.2958,OSH,ET,,,2007,2023,0,0.49090001,0.293850005,0.173040003,0.651329994,0.197050005
US-ICs,2.56,6.5,,920,318,-7.4,AMF_FLX,,,,,68.6058,-149.311,WET,ET,,,2007,2023,0,0.51797998,0.301099986,0.185499996,0.678139985,0.216879994
US-ICt,3,3.9,,930,318,-7.4,AMF_FLX,,,,,68.6063,-149.3041,OSH,ET,,,2007,2023,0,0.512290001,0.300900012,0.18231,0.671350002,0.211389989
US-Jo1,10,3.9,,1188,245.1,14.7,AMF_FLX,,,,,32.582,-106.635,OSH,Bwk,,,2010,2022,0,0.216230005,0.107369997,0.104759999,0.366039991,0.108860008
US-Jo2,7.1,3.9,,1469,282.3,17.5,AMF_FLX,,,,,32.5849,-106.6032,OSH,Bwk,,,2010,2020,0,0.242259994,0.113679998,0.123779997,0.380279988,0.128579997
US-KFS,3,3.4,,310,1014,12,AMF_FLX,,,,,39.0561,-95.1907,GRA,Cfa,,,2007,2019,2.01616275,0.359189987,0.202940002,0.150110006,0.458099991,0.156249985
US-KLS,3,3.4,,373,812,12,AMF_FLX,,,,,38.7745,-97.5684,GRA,Cfa,,,2012,2019,0.892959205,0.310039997,0.166069999,0.138410002,0.418280005,0.143969998
US-Kon,3,3.4,,417,867,12.77,AMF_FLX,,,,,39.0824,-96.5603,GRA,Cfa,,,2004,2019,0.014222577,0.380910009,0.205160007,0.168430001,0.474720001,0.175750002
US-KS1,18,5.8,,1,1266,21.9,AMF_FLX,,,,,28.4583,-80.6709,ENF,Cwa,,,2002,2003,0.428794071,0.212850004,0.135847002,0.073887996,0.443289995,0.077003002
US-KS2,4.1,2.9,,3,1294,21.66,AMF_FLX,,,,,28.6086,-80.6715,CSH,Cwa,,,1999,2006,0.786016347,0.244939998,0.156740993,0.083938003,0.467159986,0.088199005
US-KS3,2.85,6.5,,0,1340,22.3,AMF_FLX,,,,,28.7084,-80.7427,WET,Cfa,,,2018,2018,0.01834503,0.373580009,0.233809993,0.129189998,0.555589974,0.139770016
US-Lin,9.18,3.8,,131,,,AMF_FLX,,,,,36.3566,-119.0922,CRO,,,,2009,2010,0.416059679,0.21627,0.120292,0.091848999,0.375279993,0.095977999
US-LS2,6.4,3.8,,1240,288,17,AMF_FLX,,,,,31.5659,-110.1344,SAV,Bwh,,,2002,2007,0.686951122,0.285259992,0.123190001,0.155919999,0.403030008,0.162069991
US-Me1,10,2.5,,896,704.61,7.88,AMF_FLX,,,,,44.5794,-121.5,ENF,Csb,,,2004,2005,0.054426874,0.277220011,0.165720001,0.106660001,0.42802,0.11150001
US-Me2,33,2.5,,1253,523,6.28,AMF_FLX,,,,,44.4526,-121.5589,ENF,Csb,,,2002,2022,9.578347902,0.310790002,0.200100005,0.10441,0.495400012,0.110689998
US-Me3,18,2.5,,1005,719,7.07,AMF_FLX,,,,,44.3154,-121.6078,ENF,Csb,,,2004,2009,4.525176068,0.246560007,0.149485007,0.093027003,0.447189987,0.097075
US-Me6,17.5,2.5,,998,494,7.59,AMF_FLX,,,,,44.3233,-121.6078,ENF,Csb,,,2010,2022,3.055894243,0.238169998,0.145364001,0.088996001,0.441060007,0.092805997
US-MMS,46,4.7,,275,1032,10.85,AMF_FLX,,,,,39.3232,-86.4131,DBF,Cfa,,,1999,2020,21.87627256,0.346439987,0.230110005,0.11163,0.459809989,0.116329983
US-Mo1,3.6,4,,260,981,12,AMF_FLX,,,,,39.2298,-92.1167,CRO,Cfa,,,2015,2023,0.181729797,0.352880001,0.197549999,0.149409994,0.439669997,0.155330002
US-Mo2,3.81,3.4,,275,981,12,AMF_FLX,,,,,38.9488,-91.9945,GRA,Cfa,,,2018,2023,0.291375176,0.364030004,0.21108,0.146970004,0.453610003,0.152950004
US-Mo3,3.5,4,,261,981,12,AMF_FLX,,,,,39.2322,-92.1493,CRO,Cfa,,,2016,2021,1.760974166,0.363169998,0.204830006,0.152109995,0.449129999,0.158339992
US-MOz,32,4.7,,219.4,986,12.11,AMF_FLX,,,,,38.7441,-92.2,DBF,Cfa,,,2004,2021,12.68915769,0.356579989,0.224859998,0.126409993,0.464639992,0.131719992
US-Mpj,8.2,3.7,,2196,385,10.5,AMF_FLX,,,,,34.4385,-106.2377,WSA,Bsk,,,2008,2020,1.02255272,0.268189996,0.132949993,0.129769996,0.391250014,0.135240003
US-Myb,5.7,6.5,,-4,338,15.9,AMF_FLX,,,,,38.0499,-121.765,WET,Csa,,,2010,2021,0.078152594,0.358289987,0.181759998,0.168760002,0.477809995,0.176529989
US-NC1,10.5,5.8,,5,1320,16.6,AMF_FLX,,,,,35.8118,-76.7119,ENF,Cfa,,,2005,2012,9.956519332,0.265549988,0.15535,0.105499998,0.438679993,0.110199988
US-NC3,11.35,5.8,,5,1320,16.6,AMF_FLX,,,,,35.799,-76.656,ENF,Cfa,,,2013,2021,7.255604371,0.273119986,0.159769997,0.108460002,0.439150006,0.113349989
US-NC4,35.15,6.5,,1,1311,16.6,AMF_FLX,,,,,35.7879,-75.9038,WET,Cfa,,,2009,2021,10.93899404,0.297049999,0.169369996,0.122060001,0.457010001,0.127680004
US-Ne1,6.2,4,,361,790.37,10.07,AMF_FLX,,,,,41.1651,-96.4766,CRO,Dfa,,,2001,2020,0.001074577,0.324499995,0.175779998,0.143220007,0.419649988,0.148719996
US-NGB,4.15,,,5.273,171,-11.27,AMF_FLX,,,,,71.28,-156.6092,SNO,ET,,,2012,2019,0,0.445160002,0.266779989,0.159569994,0.618369997,0.178380013
US-NGC,2.75,3.3,,35,,,AMF_FLX,,,,,64.8618,-163.7002,GRA,ET,,,2017,2023,0.923991014,0.490150005,0.32486999,0.146060005,0.637730002,0.165280014
US-NR1,25.5,2.6,,3050,800,1.5,AMF_FLX,,,,,40.0329,-105.5464,ENF,Dfc,,,1998,2016,5.681840494,0.292079985,0.18107,0.105619997,0.467790008,0.111009985
US-Oho,34,4.7,,230,849,10.1,AMF_FLX,,,,,41.5545,-83.8438,DBF,Dfa,,,2004,2013,18.43674646,0.254729986,0.145569995,0.105240002,0.458200008,0.109159991
US-ONA,2.8,4.2,,25,1268,22.3,AMF_FLX,,,,,27.3836,-81.9509,GRA,Cfa,,,2016,2022,0.763479549,0.080193996,0.018367,0.061826002,0.427819997,0.061826997
US-ORv,15,6.5,,221,1499.1,11.63,AMF_FLX,,,,,40.0201,-83.0183,WET,Cfa,,,2011,2016,3.574639364,0.308039993,0.170819998,0.131819993,0.422690004,0.137219995
US-OWC,5.77,6.5,,174,930,10.7,AMF_FLX,,,,,41.3795,-82.5125,WET,Dfb,,,2015,2016,5.329199137,0.312779993,0.181290001,0.125630006,0.459470004,0.131489992
US-Pnp,60,,,260,875,7.94,AMF_FLX,,,,,43.0896,-89.4158,WAT,Dfa,,,2016,2022,0.487441472,,,,,0
US-RGA,4.6,4,,61,1250,16.7,AMF_FLX,,,,,34.4159,-91.6733,CRO,Csa,,,2021,2023,0.042373136,0.318470001,0.197290003,0.116640002,0.422520012,0.121179998
US-RGB,2.4,3.8,,33,737,16,AMF_FLX,,,,,39.5782,-121.8579,CRO,Csa,,,2021,2023,0.040217155,0.351559997,0.157140002,0.186320007,0.455720007,0.194419995
US-RGo,2.9,3.8,,40,610,16,AMF_FLX,,,,,39.6805,-122.0026,CRO,Csa,,,2021,2023,0.679624018,0.289310008,0.148330003,0.135399997,0.402049989,0.140980005
US-Rls,3.05,2.9,,1608,333,8.4,AMF_FLX,,,,,43.1439,-116.7356,CSH,Bsh,,,2014,2023,0.004923463,0.305539995,0.171110004,0.128959998,0.430079997,0.134429991
US-Rms,3.05,2.9,,2111,800,5.4,AMF_FLX,,,,,43.0645,-116.7486,CSH,Bsh,,,2014,2023,0.286746788,0.303649992,0.19111,0.106899999,0.474339992,0.112539992
US-Ro1,3.7,4,,290,879,6.4,AMF_FLX,,,,,44.7143,-93.0898,CRO,Dfa,,,2004,2016,0.486678307,0.252209991,0.143690005,0.104139999,0.42554,0.108519986
US-Ro2,3.7,4,,292,879,6.4,AMF_FLX,,,,,44.7288,-93.0888,CRO,Dfa,,,2008,2016,0.857048364,0.272909999,0.155729994,0.112240002,0.433899999,0.117180005
US-Ro4,3.7,3.6,,274,879,6.4,AMF_FLX,,,,,44.6781,-93.0723,GRA,Dfa,,,2014,2023,1.016877337,0.273959994,0.160669997,0.108390003,0.43592,0.113289997
US-Ro5,4.5,4,,283,879,6.4,AMF_FLX,,,,,44.691,-93.0576,CRO,Dfa,,,2017,2023,2.467862124,0.26098001,0.152170002,0.104209997,0.429740012,0.108810008
US-Ro6,3.7,4,,282,879,6.4,AMF_FLX,,,,,44.6946,-93.0578,CRO,Dfa,,,2017,2023,1.015271957,0.26098001,0.152170002,0.104209997,0.429740012,0.108810008
US-Rpf,7.5,4.7,,497,450,-0.8,AMF_FLX,,,,,65.1198,-147.429,DBF,Dwc,,,2008,2023,0.32909966,0.418009996,0.297199994,0.112690002,0.554120004,0.120810002
US-Rwe,5.25,2.9,,2098,800,5.4,AMF_FLX,,,,,43.0653,-116.7591,CSH,Bsh,,,2003,2007,0.654538936,0.329659998,0.210460007,0.11338,0.479400009,0.119199991
US-Rwf,3.57,2.9,,1878,505,6.5,AMF_FLX,,,,,43.1207,-116.7231,CSH,Bsh,,,2014,2023,0.016954549,0.295109987,0.172549993,0.11744,0.428710014,0.122559994
US-Rws,3.05,3.9,,1425,290,8.9,AMF_FLX,,,,,43.1675,-116.7132,OSH,Bsk,,,2014,2023,0,0.28354001,0.159909993,0.118660003,0.403439999,0.123630017
US-Seg,3.4,3.9,,1596,273.304,13.667,AMF_FLX,,,,,34.3623,-106.702,GRA,Bsk,,,2007,2021,0,0.212860003,0.107940003,0.101530001,0.376399994,0.10492
US-Ses,3.2,3.9,,1604,275.082,13.722,AMF_FLX,,,,,34.3349,-106.7442,OSH,Bsk,,,2007,2021,0,0.206440002,0.106109999,0.097179003,0.374179989,0.100330003
US-Sne,5.43,3.3,,-5,311,16.09,AMF_FLX,,,,,38.0369,-121.7547,GRA,Csa,,,2016,2020,0.000913605,0.357010007,0.187089995,0.162479997,0.47744,0.169920012
US-Snf,3.49,3.3,,-4,,,AMF_FLX,,,,,38.0402,-121.7272,GRA,Csa,,,2018,2020,0.014509576,0.366340011,0.190119997,0.168579996,0.478989989,0.176220015
US-SRC,3.75,3.9,,950,330,22,FLUXNET2015,,,,,31.9083,-110.8395,OSH,Bwh,,,2008,2014,0,0.25711,0.108649999,0.142979994,0.378210008,0.148460001
US-SRG,3.5,3.7,,1291,420,17,AMF_FLX,,,,,31.7894,-110.8277,GRA,Bsk,,,2008,2023,0.213248843,0.280519992,0.124370001,0.15061,0.417400002,0.156149991
US-Srr,3.4,6.5,,8,326,15.1,AMF_FLX,,,,,38.2006,-122.0264,WET,Csa,,,2014,2017,0,0.308750004,0.151449993,0.151089996,0.421420008,0.15730001
US-SRS,7.1,3.7,,1169,388,19.4,AMF_FLX,,,,,31.8173,-110.8508,WSA,Bsk,,,2011,2018,0.265051568,0.276039988,0.121160001,0.149279997,0.406459987,0.154879987
US-StJ,3.6,6.5,,6.7,1121,13.5,AMF_FLX,,,,,39.0882,-75.4372,WET,Cfa,,,2015,2017,1.130401327,0.235080004,0.145934001,0.085197002,0.42050001,0.089146003
US-Syv,36,5.5,,540,826,3.81,AMF_FLX,,,,,46.242,-89.3477,MF,Dfb,,,2001,2023,16.06932319,0.313459992,0.215682,0.090597004,0.513700008,0.097777992
US-Ton,23.5,3.3,,177,559,15.8,AMF_FLX,,,,,38.4309,-120.966,WSA,Csa,,,2001,2023,3.255090588,0.260670006,0.139449999,0.116169997,0.389970005,0.121220008
US-Tw1,4.64,6.5,,-5,421,15.5,AMF_FLX,,,,,38.1074,-121.6469,WET,Csa,,,2011,2023,0.096397444,0.362410009,0.178029999,0.176420003,0.473650008,0.18438001
US-Tw2,5.2,3.8,,-5,421,15.5,AMF_FLX,,,,,38.0969,-121.6365,CRO,Csa,,,2012,2013,0.259602787,0.363020003,0.177760005,0.177289993,0.473150015,0.185259998
US-Tw3,2.8,3.8,,-4,421,15.6,AMF_FLX,,,,,38.1152,-121.6469,CRO,Csa,,,2013,2018,0.038327202,0.358009994,0.178059995,0.172150001,0.473740011,0.179949999
US-Tw4,5.36,6.5,,-5,421,15.6,AMF_FLX,,,,,38.1027,-121.6413,WET,Csa,,,2013,2023,0.055837527,0.357010007,0.171570003,0.177530006,0.467779994,0.185440004
US-Tw5,6.12,6.5,,-5,421,15.5,AMF_FLX,,,,,38.1072,-121.6426,WET,Csa,,,2018,2019,0.077702255,0.362410009,0.178029999,0.176420003,0.473650008,0.18438001
US-UM3,5.5,,,234,803,5.83,AMF_FLX,,,,,45.5686,-84.6707,WAT,Dfb,,,2013,2014,0.010551179,0.307520002,0.190129995,0.111139998,0.492240012,0.117390007
US-UMB,48,4.7,,234,803,5.83,AMF_FLX,,,,,45.5598,-84.7138,DBF,Dfb,,,2007,2021,18.46337586,0.235750005,0.148212001,0.083835997,0.467729986,0.087538004
US-UMd,32,4.7,,239,803,5.83,AMF_FLX,,,,,45.5625,-84.6975,DBF,Dfb,,,2007,2023,17.59061704,0.266550004,0.168899998,0.092808999,0.467400014,0.097650006
US-Var,2.5,3.3,,129,559,15.8,AMF_FLX,,,,,38.4133,-120.9508,GRA,Csa,,,2000,2021,0.810455117,0.26346001,0.142379999,0.116039999,0.392289996,0.121080011
US-Vcm,23.9,2.6,,3030,646,6.4,AMF_FLX,,,,,35.8884,-106.5321,ENF,Dfb,,,2007,2021,0.285089013,0.31558001,0.193570003,0.116209999,0.470589995,0.122010008
US-Vcp,28.2,2.6,,2500,550,9.8,AMF_FLX,,,,,35.8642,-106.5967,ENF,Dfb,,,2007,2023,4.839984949,0.291880012,0.172350004,0.114380002,0.436630011,0.119530007
US-Whs,6.5,3.9,,1370,320,17.6,AMF_FLX,,,,,31.7438,-110.0522,OSH,Bsk,,,2007,2020,0,0.227829993,0.108630002,0.115400001,0.380560011,0.119199991
US-Wi0,6,5.8,,349,,,AMF_FLX,,,,,46.6188,-91.0814,ENF,Dfb,,,2002,2002,10.94676313,0.351839989,0.215169996,0.128910005,0.515399992,0.136669993
US-Wi1,9,4.7,,352,,,AMF_FLX,,,,,46.7305,-91.2329,DBF,Dfb,,,2003,2003,10.04916599,0.336730003,0.201279998,0.128409997,0.498409986,0.135450006
US-Wi3,26,4.7,,411,,,AMF_FLX,,,,,46.6347,-91.0987,DBF,Dfb,,,2002,2004,15.86783612,0.339659989,0.204750001,0.128010005,0.495719999,0.134909987
US-Wi4,23,5.8,,352,,,AMF_FLX,,,,,46.7393,-91.1663,ENF,Dfb,,,2002,2005,15.93548477,0.354750007,0.213489994,0.132650003,0.528240025,0.141260013
US-Wi5,6,5.8,,353,,,AMF_FLX,,,,,46.6531,-91.0858,ENF,Dfb,,,2004,2004,10.83034062,0.319050014,0.194309995,0.11851,0.483260006,0.124740019
US-Wi6,3,3.9,,371,,,AMF_FLX,,,,,46.6249,-91.2982,OSH,Dfb,,,2002,2003,3.507053013,0.333799988,0.191339999,0.135409996,0.492819995,0.142459989
US-Wi7,6,3.9,,335,,,AMF_FLX,,,,,46.6491,-91.0693,OSH,Dfb,,,2005,2005,3.631643905,0.338730007,0.19641,0.135220006,0.494219989,0.142320007
US-Wi8,3,4.7,,348,,,AMF_FLX,,,,,46.7223,-91.2524,DBF,Dfb,,,2002,2002,11.20023779,0.320369989,0.196970001,0.116999999,0.489890009,0.123399988
US-Wi9,9,5.8,,350,,,AMF_FLX,,,,,46.7385,-91.0746,ENF,Dfb,,,2004,2005,8.643264519,0.347250015,0.209930003,0.128839999,0.527620018,0.137320012
US-Wjs,10.5,3.8,,1931,361,15.2,AMF_FLX,,,,,34.4255,-105.8615,SAV,Bsk,,,2007,2021,0.43373408,0.236680001,0.117899999,0.114229999,0.383439988,0.118780002
US-Wkg,6.4,3.9,,1531,407,15.64,AMF_FLX,,,,,31.7365,-109.9419,GRA,Bsk,,,,,0,0.240580007,0.111639999,0.124990001,0.392019987,0.128940009
US-WPT,3.2,6.5,,175,849,10.1,FLUXNET2015,,,,,41.4646,-82.9962,WET,Dfa,,,2011,2013,0.729831771,0.385360003,0.211309999,0.165419996,0.512690008,0.174050003
US-xAB,19.01,2.5,,363,2450.59,10,AMF_FLX,,,,,45.7624,-122.3303,ENF,Csb,,,2017,2023,9.346784847,0.350250006,0.223030001,0.119539998,0.519439995,0.127220005
US-xAE,8.63,3.4,,516,778.85,15.5,AMF_FLX,,,,,35.4106,-99.0588,GRA,Cfa,,,2017,2021,0.074704115,0.25455001,0.129800007,0.119439997,0.370169997,0.124750003
US-xBA,9.08,6.5,,6,110,-12,AMF_FLX,,,,,71.2824,-156.6194,WET,ET,,,2019,2021,0,0.445060015,0.264919996,0.161640003,0.616850019,0.180140018
US-xBL,8.71,4.7,,183,982.55,12.1,AMF_FLX,,,,,39.0603,-78.0716,DBF,Cfa,,,2019,2021,4.334337392,0.340990007,0.19901,0.136390001,0.44975999,0.141980007
US-xBN,19.87,2.5,,263,275,-2,AMF_FLX,,,,,65.154,-147.5026,ENF,Dwc,,,2019,2021,3.825506986,0.469289988,0.332349986,0.124569997,0.602079988,0.136940002
US-xBR,35.89,4.7,,232,1246,5.6,AMF_FLX,,,,,44.0639,-71.2873,DBF,Dfb,,,2017,2021,16.97003437,0.298460007,0.199883997,0.092436001,0.496179998,0.098576009
US-xCL,22.7,3.4,,259,925.61,17.5,AMF_FLX,,,,,33.4012,-97.57,GRA,Cfa,,,2017,2021,8.583293101,0.253690004,0.127800003,0.12071,0.384160012,0.125890002
US-xCP,8.41,3.9,,1654,320,8.6,AMF_FLX,,,,,40.8155,-104.7456,GRA,Bsk,,,2016,2021,0,0.274610013,0.12314,0.145999998,0.409040004,0.151470013
US-xDC,8.73,3.6,,559,489.74,4.9,AMF_FLX,,,,,47.1617,-99.1066,GRA,Dfb,,,2017,2021,0.001574317,0.357030004,0.185259998,0.163599998,0.494069993,0.171770006
US-xDJ,22.55,2.5,,529,300,-2,AMF_FLX,,,,,63.8811,-145.7514,ENF,Dfc,,,2017,2023,0.71020961,0.355280012,0.25266999,0.095946997,0.519810021,0.102610022
US-xDL,42.54,5.5,,22,1372,17.6,AMF_FLX,,,,,32.5417,-87.8039,MF,Cfa,,,2017,2021,14.06359766,0.351689994,0.174810007,0.169290006,0.468959987,0.176879987
US-xDS,8.72,,,15,1216.09,22.5,AMF_FLX,,,,,28.125,-81.4362,CVM,Cfa,,,2017,2021,0.581043001,0.165289998,0.096616998,0.06786,0.426059991,0.068673
US-xGR,45.99,4.7,,579,1375,13.1,AMF_FLX,,,,,35.689,-83.5019,DBF,Cfa,,,2017,2021,14.46775708,0.330440015,0.201580003,0.122979999,0.47044,0.128860012
US-xHA,39.28,4.7,,351,1071,6.62,AMF_FLX,,,,,42.5369,-72.1727,DBF,Dfb,,,2017,2021,15.18558503,0.284610003,0.190457001,0.087798998,0.50049001,0.094153002
US-xHE,9.28,3.9,,705,320,-4,AMF_FLX,,,,,63.8757,-149.2133,OSH,ET,,,2017,2021,0.000807682,0.463149995,0.318120003,0.13346,0.592599988,0.145029992
US-xJE,42.57,5.8,,44,1307.97,19.2,AMF_FLX,,,,,31.1948,-84.4686,ENF,Cfa,,,2017,2021,7.709449297,0.169170007,0.084156998,0.084799998,0.448949993,0.08501301
US-xJR,8.68,3.9,,1329,271.33,15.7,AMF_FLX,,,,,32.5907,-106.8425,OSH,Bsk,,,2017,2023,0,0.214269996,0.096050002,0.115670003,0.370539993,0.118219994
US-xKA,8.53,3.4,,1329,850.63,12.7,AMF_FLX,,,,,39.1104,-96.6129,GRA,Cfa,,,2017,2021,1.374129711,0.322809994,0.175260007,0.141939998,0.426059991,0.147549987
US-xKZ,8.5,3.4,,381,870.38,12.4,AMF_FLX,,,,,39.1008,-96.5631,GRA,Cfa,,,2017,2021,0.105210223,0.365310013,0.200890005,0.157849997,0.463200003,0.164420009
US-xMB,8.62,3.9,,1767,319.46,10.1,AMF_FLX,,,,,38.2483,-109.3883,OSH,Bsk,,,2017,2021,0.000307188,0.22394,0.11372,0.1061,0.377939999,0.11022
US-xML,29.21,4.7,,1126,1227.82,8.8,AMF_FLX,,,,,37.3783,-80.5248,DBF,Dfb,,,2017,2021,13.67824308,0.380620003,0.240710005,0.130779997,0.54203999,0.139909998
US-xNG,8.58,3.6,,578,456.51,5.9,AMF_FLX,,,,,46.7697,-100.9154,GRA,Dfb,,,2017,2021,0.001585969,0.275370002,0.144569993,0.125479996,0.406940013,0.130800009
US-xNQ,8.8,3.9,,1685,288.31,9,AMF_FLX,,,,,40.1776,-112.4524,OSH,Dfb,,,2017,2021,0,0.255360007,0.140090004,0.110370003,0.380100012,0.115270004
US-xRM,25.45,2.6,,2743,730.59,2.9,AMF_FLX,,,,,40.2759,-105.5459,ENF,Dfc,,,2017,2021,4.830193326,0.290010005,0.179580003,0.104599997,0.491439998,0.110430002
US-xSB,35.81,5.8,,45,1302.09,20.9,AMF_FLX,,,,,29.6893,-81.9934,ENF,Cfa,,,2017,2021,4.096438664,0.064179003,0.008115,0.056063998,0.425410002,0.056064003
