site_name,Zm,g1,Albedo,Elev,MAP,MAT,Source,Dataset,N_gN_100gleaf,AGB_t_DM_ha,Ref,lat,long,LC,Koppen,hc,LAImax,DATA_START,DATA_END,hc_RS,theta_f_mean,PAW_mean,theta_r_mean,theta_s_mean,theta_wp_mean
AU-Ade,,4.2,,,,,FLUXNET2015,F15,,,3,-13.077,131.118,SAV,Aw,12.5,2.04,2007,2009,2.261002989,0.213320002,0.100280002,0.110830002,0.384249985,0.11304
AU-Fog,,6.5,,,1323.69,27.02,FLUXNET2015,F15,,,11,-12.545,131.307,WET,Aw,1,3.4408,2006,2008,0.550133267,0.274529994,0.13154,0.138160005,0.433840007,0.142989993
AU-RDF,,4.1,,,,,FLUXNET2015,F15,,32,13,-14.564,132.478,SAV,Aw,16,,2011,2013,0.984402891,0.25466001,0.11586,0.135550007,0.422230005,0.13880001
AU-Wac,,5.5,,,1105.59,12.76,FLUXNET2015,F15,,348,14,-37.426,145.188,EBF,Cfb,80,5.01,2005,2008,10.37990924,0.356040001,0.190129995,0.156340003,0.535769999,0.165910006
BR-Ban,,4.1,,,,,,LT,,143,19,-9.824,-50.159,EBF,Aw,18,,,,9.605909379,0.294090003,0.147100002,0.141210005,0.445199996,0.146990001
BR-Ma2,,4.1,,,,,,LT,4.435,276,20,-2.609,-60.209,EBF,Aw,35,5.16,,,21.18147546,0.333050013,0.150649995,0.17464,0.467480004,0.182400018
BR-Sa1,66.8,4.1,,88,2074.79,26.13,FLUXNET2015,F15,2.219,250.5,21,-2.857,-54.959,EBF,Am,40,5.18,2002,2011,22.36948904,0.363460004,0.148540005,0.204579994,0.489719987,0.214919999
CA-Ca1,45,2.5,,,,,,LT,1.35,240,23,49.867,-125.334,ENF,Cfb,32.5,8.4,,,4.849758944,0.421030015,0.279419988,0.128470004,0.588810027,0.141610026
CA-Ca2,10,2.5,,,,,,LT,1,82,23,49.87,-125.291,ENF,Cfb,1,1.365,,,3.22277672,0.327580005,0.222350001,0.098931998,0.501919985,0.105230004
CA-Ca3,21,2.5,,,,,,LT,1,152.5,23,49.535,-124.9,ENF,Cfb,7.57,4.7,,,7.903293041,0.419470012,0.281819999,0.125819996,0.580980003,0.137650013
CA-Let,6,3.3,,,,,,LT,2.025,0,25,49.709,-112.94,GRA,Dfb,0.365,1.22,,,0,0.30625999,0.148440003,0.151580006,0.420760006,0.157819986
