date,canopy_height,tower_height
10/19/16,0.1,2.5
11/16/16,0.11176,2.5
12/6/16,0.1185333,2.5
3/9/17,0.3285067,2.5
3/28/17,0.56388,2.5
4/11/17,0.8449733,2.5
4/25/17,1.034627,2.5
3/14/18,0.234526667,2.5
3/29/18,0.301413333,2.5
4/12/18,0.28194,2.5
5/1/18,0.516466667,2.5
5/16/18,0.616373333,2.5
